trip_id,trip_property_id,value
53257859-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257860-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257860-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53257861-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53257861-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53258345-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53258345-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53258500-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53258500-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53258546-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53258546-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53258643-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53258643-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53258826-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53258826-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53258869-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53258869-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259071-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259071-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259251-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259251-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259252-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259252-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259275-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259275-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259281-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259281-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259285-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259285-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259286-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259286-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259387-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259387-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53259904-BUS42022-hbb42011-Weekday-02,note,Does not run during school vacation
53259904-BUS42022-hbb42011-Weekday-02,trip_type,supplemental
53284972-BUS42022-hbt42l31-Saturday-02,note,Does not run during school vacation
53284972-BUS42022-hbt42l31-Saturday-02,trip_type,supplemental
53284973-BUS42022-hbt42l31-Saturday-02,note,Does not run during school vacation
53284973-BUS42022-hbt42l31-Saturday-02,trip_type,supplemental
53284974-BUS42022-hbt42l31-Saturday-02,note,Does not run during school vacation
53284974-BUS42022-hbt42l31-Saturday-02,trip_type,supplemental
53284975-BUS42022-hbt42l31-Saturday-02,note,Does not run during school vacation
53284975-BUS42022-hbt42l31-Saturday-02,trip_type,supplemental
53284976-BUS42022-hbt42l31-Saturday-02,note,Does not run during school vacation
53284976-BUS42022-hbt42l31-Saturday-02,trip_type,supplemental
53284977-BUS42022-hbt42l31-Saturday-02,note,Does not run during school vacation
53284977-BUS42022-hbt42l31-Saturday-02,trip_type,supplemental
53284994-BUS42022-hbt42l31-Saturday-02,note,Does not run during school vacation
53284994-BUS42022-hbt42l31-Saturday-02,trip_type,supplemental
53304696-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53304696-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53304778-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53304778-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53304901-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53304901-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305062-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305062-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305138-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305138-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305168-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305168-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305204-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305204-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305277-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305277-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305291-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305291-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305359-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305359-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305447-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305447-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305577-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305577-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305665-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305665-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305704-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305704-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305927-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305927-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53305981-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53305981-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306142-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306142-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306163-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306163-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306169-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306169-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306235-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306235-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306313-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306313-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306321-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306321-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306322-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306322-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306394-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306394-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306479-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306479-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306525-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306525-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306530-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306530-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306577-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306577-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306604-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306604-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306654-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306654-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306665-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306665-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306666-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
